id,title,release_date,popularity,vote_average,vote_count,original_language,genre_ids,overview
840464,Greenland 2: Migration,2026-01-07,66.3465,6.408,994,en,"[12, 53, 878]","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home."
10729,Quick Change,1990-07-13,42.1875,6.693,410,en,"[35, 80]","With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom."
609681,The Marvels,2023-11-08,58.0632,5.941,3349,en,"[878, 12, 28]","When her duties send her to an anomalous wormhole linked to a Kree revolutionary, Carol's powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe."
1301421,The Sheep Detectives,2026-04-30,57.7231,7.786,21,en,"[35, 10751, 9648]","George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers."
774444,Cinematographer,2020-12-04,39.6077,0.0,0,en,[99],"The life of Donald M. Morgan, one of Hollywood’s most prolific artists, is a unique, rags-to-riches story about a man who’s had a life-changing effect on the people around him, both personally and professionally. By sharing stories of his lengthy career, working with filmmakers like Robert Zemeckis, John Carpenter and Joseph Sargent, Morgan recounts pivotal moments in the art of filmmaking for over four decades, through interviews with fellow greats Owen Roizman (The Exorcist) and Jack N. Green (Unforgiven). But at the heart of the film is an emotional journey along the road to recovery in an industry that is ripe with dysfunction and addiction. Inspiring, heartbreaking, and funny, “Cinematographer” shares the story of one of the film industry's finest human beings."
106098,Egyptian Melodies,1931-08-21,40.6981,6.059,34,en,[16],A spider gets lost inside the sphinx.
1235192,Wormtown,2025-09-27,72.9161,5.35,10,en,"[878, 27, 12]","One year into a plague of flesh-eating, mind-altering worms, the nocturnal town of Ashland, Ohio, has embraced the parasites’ rule. Under cult-like Mayor Joshua, zealous Ranchers spread their gospel—by persuasion or by force. A trio of uninfected women cling to survival through scavenging, extreme hygiene, and evasion. But everyone breaks eventually, unleashing betrayal, sacrilege, and body horror."
460465,Mortal Kombat,2021-04-07,69.4748,6.98,6338,en,"[28, 14, 12]","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe."
1084577,Balls Up,2026-04-15,54.2045,5.781,192,en,"[35, 28, 12]","Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive."
1426822,Mortal Game,2025-02-03,72.6466,6.5,2,en,"[27, 28]","A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one."
249397,Nymphomaniac: Vol. II,2013-12-25,60.5665,6.706,3125,en,"[18, 9648]",The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.
502356,The Super Mario Bros. Movie,2023-04-05,50.0029,7.588,10589,en,"[10751, 35, 12, 14, 16]","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
73353,Man in the Mirror: The Michael Jackson Story,2004-08-06,49.1645,6.3,13,en,"[18, 10770]",Chronicles the rise and fall of pop king Michael Jackson.
1470130,The Mortuary Assistant,2026-02-13,48.6027,5.454,87,en,"[27, 9648]","Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn."
1641319,Sniper: No Nation,2026-04-07,52.6008,6.269,39,en,"[28, 53]",Brandon Beckett and Agent Zero lead a rescue mission in Costa Verde when their friends are taken hostage.
1383731,Protector,2026-02-20,55.2164,6.3,50,en,"[28, 53]","Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child."
1087040,Money Shot: The Pornhub Story,2023-03-15,48.0387,5.77,352,en,[99],"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub."
1265609,War Machine,2026-02-12,50.638,7.248,1616,en,"[28, 878, 53]","On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine."
278,The Shawshank Redemption,1994-09-23,50.112,8.7,30274,en,"[18, 80]","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
441168,From Straight A's to XXX,2017-02-11,51.0396,5.8,160,en,"[18, 10770]","When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning."
24428,The Avengers,2012-04-25,48.7606,8.017,37674,en,"[878, 28, 12]","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
458293,Michael Jackson: Searching for Neverland,2017-05-29,52.1331,6.541,111,en,"[18, 10770]","Based on the best-selling book, Remember the Time: Protecting Michael Jackson in His Final Days, and told through the eyes of Jackson's trusted bodyguards, Bill Whitfield and Javon Beard. The movie will reveal firsthand the devotion Michael Jackson had to his children, and the hidden drama that took place during the last two years of his life."
744275,After We Fell,2021-09-01,50.3571,7.005,2728,en,"[18, 10749]","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family."
1301421,The Sheep Detectives,2026-04-30,57.7231,7.868,19,en,"[35, 10751, 9648]","George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers."
341054,Fool Japan: The ABCs of Tetsudon,2014-03-01,34.3877,0.0,0,ja,"[35, 27, 16]","'Testudon', one of the most famous foolish film festivals, made a foolish anthology film about 'Japan' with 26 directors. Naturally, the directors are also foolish enough, so that you might wonder if it is really about Japan or get headache at the screening.At least, some of the 26 various works will please you. It is inevitable that the theater room will be full of laughter, hand claps, roars or booings like 'Pay back the money!'. But we won't reimburse you!"
1316092,"""Wuthering Heights""",2026-02-11,46.2785,6.546,891,en,"[10749, 18]","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England."
1292662,Slaughterhouse On The Hill,2024-05-03,42.2727,5.889,9,en,[27],A night of terror ensues when a group of friends party at an abandoned slaughterhouse.
1601797,¿Quieres ser mi novia?,2026-02-12,48.2458,8.5,69,es,"[35, 10749]","Javi and Lu's relationship faces dangerous territory as old and new temptations emerge: a young woman reigniting Javi's chemistry and a mature man pursuing Lu. Through humor, entanglements, and surprises, their love is tested."
299536,Avengers: Infinity War,2018-04-25,45.1151,8.234,31858,en,"[12, 28, 878]","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
1110034,Kraken,2026-02-06,46.7473,6.1,29,no,"[27, 28, 53]","Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab."
1534530,The Whisper,2026-01-22,51.1097,6.875,4,es,[27],"Fleeing from their violent father, siblings Lucía and Adrián take refuge in a remote mansion. With the help of a hidden micro-camera on a cat, Lucía uncovers a terrifying secret: their neighbors are part of a criminal network that kidnaps teenage girls to make snuff films, and they intend to get rid of the siblings. As Lucía fights to protect her brother, she must face a dark family curse that follows them into their newfound sanctuary."
510657,Wellwood,2025-03-24,56.8607,5.6,9,en,"[878, 27, 18, 53]",Nick makes an extraterrestrial discovery that he decides will cure his wife of her terminal illness.
670435,Female Teacher Diary: Forbidden Sex,1995-09-08,45.046,4.8,6,ja,"[10749, 18]","The film depicts the relationship between a beautiful teacher and a male teacher, popular among female students, an excellent student who tells the teacher about his feelings using an answering machine, and a high school student who bets on whether she can have a relationship with a male teacher. This is the debut full-length work by Hideo Nakata."
78192,Michael Jackson: The Life of an Icon,2011-11-02,51.4408,7.973,149,en,"[99, 10402]","See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more."
1234731,Anaconda,2025-12-24,41.84,5.872,1106,en,"[12, 35, 27]","A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals."
1266992,Balinsasayaw,2024-05-17,38.9587,6.833,6,tl,[18],"A rich woman marries a charming womanizer who conspires with his wife’s best friend. When all the revelations are exposed, the tables suddenly turn."
1368337,The Odyssey,2026-07-15,42.6948,0.0,0,en,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point."
321258,The Boy,2016-01-22,17.3249,5.974,3936,en,"[27, 9648, 53]","A young American woman takes a job as a nanny in a remote English village, soon discovering that the family's eight-year-old son is a life-sized doll that comes with a list of strict rules."
911430,F1,2025-06-25,40.5354,7.749,3833,en,"[28, 18]",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.
238,The Godfather,1972-03-14,39.8763,8.686,22855,en,"[18, 80]","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
